driver,gender,years_exp,bus_unit,d_type,age,n_trip,ping_speed,distance,travel_time,n_crash,fatalities,injuries,sce_CM,sce_HB,sce_HW,sce_RS,sce_N
d15134,M,1.6,Dedicated,LOC,40,19,17.6848947368421,1217.247,4103.768,3,0,0,9,15,0,3,27
d04423,M,0.4,Intermodal,REG,45,349,33.7407191977077,57308.264,88333.628,4,0,0,0,3,6,0,9
d17941,M,1.7,Dedicated,OTR,60,921,32.3949663409338,147790.473,217788.428,5,0,0,8,11,5,0,24
d13474,M,0.7,Dedicated,REG,29,150,40.85062,27056.605,32883.902,0,0,0,0,0,0,0,0
d21697,M,4,Dedicated,REG,56,967,35.3186928645295,160468.475,217251.298,2,0,0,2,4,0,0,6
d06482,M,2.1,Dedicated,LOC,45,81,27.4500617283951,7063.977,13390.568,0,0,0,0,0,0,0,0
d28906,M,1.2,Dedicated,REG,62,824,33.7192584951456,122861.038,187227.499,3,0,0,1,38,34,6,79
d08549,M,0.7,Dedicated,LOC,45,1278,31.0079726134585,116496.133,219163.302,4,0,0,0,1,0,0,1
d29797,M,0.2,Final-mile,REG,26,164,27.5953353658537,13444.96,27227.063,0,0,0,0,0,0,0,0
d12150,M,2.4,Final-mile,REG,27,468,37.7084166666667,101986.915,138279.735,0,0,0,0,9,11,0,20
d09903,F,0.3,Dedicated,REG,52,279,41.0764516129032,91275.7,118716.001,5,0,0,1,3,0,0,4
d24757,M,5.1,Final-mile,REG,49,87,38.8658390804598,13604.214,18394.835,0,0,0,1,0,0,0,1
d24111,M,1,Dedicated,LOC,38,82,27.6424878048781,11319.205,23397.764,0,0,0,0,0,0,0,0
d27122,M,2.9,Final-mile,REG,41,129,31.7271007751938,16090.209,24851.029,0,0,0,0,0,0,0,0
d14458,M,0.5,Dedicated,REG,23,26,34.9293076923077,3335.148,4940.802,0,0,0,0,0,0,0,0
d24799,M,0.3,Dedicated,LOC,50,621,35.3383252818035,99585.4419999999,165009.835,7,0,0,3,28,20,2,53
d26698,M,1.2,Dedicated,REG,53,307,34.068016286645,54778.921,79649.639,2,0,0,0,2,0,0,2
d19998,M,3,Dedicated,REG,62,153,29.1812352941177,18483.292,30297.436,0,0,0,0,0,0,0,0
d02704,M,3.2,Final-mile,REG,72,2,26.584,127.131,203.267,0,0,0,0,0,0,0,0
d20362,M,1.6,Dedicated,LOC,28,166,24.9770301204819,13175.192,29373.303,0,0,0,0,0,0,0,0
d23194,M,16.4,Intermodal,LOC,58,216,26.1095231481482,33566.794,62727.269,0,0,0,2,0,0,0,2
d02525,M,0.2,Final-mile,REG,51,4,22.06175,347.607,620.7,0,0,0,0,0,0,0,0
d10373,M,1.4,Dedicated,REG,24,105,37.0231047619048,24873.347,34393.23,0,0,0,0,0,0,0,0
d24176,M,0.8,Dedicated,REG,62,991,42.7097305751766,285255.622,368088.555,6,0,0,0,11,3,0,14
d24567,F,1.2,Final-mile,REG,42,159,29.9855283018868,17710.033,28275.103,2,0,0,1,0,4,0,5
d29956,M,0.8,Final-mile,REG,23,72,23.9312777777778,5397.067,9462.33399999999,0,0,0,0,0,0,0,0
d29533,M,4.4,Intermodal,REG,30,289,33.2931868512111,79744.268,119080.801,2,0,0,0,7,1,0,8
d10062,M,0.9,Dedicated,LOC,39,7,35.2562857142857,704.549,1217.701,1,0,0,0,0,0,0,0
d14004,M,,Intermodal,LOC,26,237,18.9292109704641,14153.978,42738.901,0,0,0,0,0,0,0,0
d01525,M,0.5,Dedicated,LOC,63,1379,20.5388977519942,83508.0690000001,236061.597,0,0,0,2,63,14,0,79
d26692,M,0.4,Intermodal,REG,35,207,30.6490289855073,24239.544,40955.163,0,0,0,0,0,0,0,0
d26016,M,1.3,Dedicated,REG,24,769,30.92222236671,121138.925,206303.499,2,0,0,6,73,159,0,238
d01229,M,3.7,Dedicated,LOC,35,353,23.503164305949,30451.392,71104.939,0,0,0,0,3,0,1,4
d09840,M,0.2,Dedicated,LOC,35,565,27.2337380530973,64448.2519999999,126716.408,0,0,0,1,13,7,0,21
d10297,M,3,Dedicated,LOC,31,369,20.6895528455285,23406.225,62948.63,1,0,0,0,3,0,0,3
d01291,F,1.3,Dedicated,REG,28,319,32.3215423197492,60397.074,99556.3680000001,1,0,0,3,7,0,0,10
d24516,M,6.7,Dedicated,REG,59,985,32.5648883248731,177876.585,266850.33,1,0,0,1,10,3,0,14
d13993,M,2,Final-mile,REG,54,1216,32.3332491776316,170255.63,256046.807,0,0,0,5,42,0,0,47
d15573,U,3.3,Intermodal,LOC,40,59,38.6546271186441,11619.054,15061.369,0,0,0,0,0,0,0,0
d30136,M,3.5,Intermodal,REG,46,231,29.8323896103896,56572.766,88949.1,2,0,0,12,3,0,0,15
d28493,M,10.6,Dedicated,LOC,60,5,25.4308,487.672,892.2,0,0,0,0,0,0,0,0
d26430,M,0.2,Dedicated,LOC,43,560,30.5502785714286,100307.476,180408.439,4,0,0,7,66,12,0,85
d10879,M,3.7,Dedicated,REG,33,155,30.2074516129032,9384.925,14748.665,0,0,0,0,0,0,0,0
d17870,M,4.2,Dedicated,OTR,28,1004,36.7568446215139,194147.968,246229.256,2,0,0,0,14,7,0,21
d31112,M,3.6,Dedicated,LOC,45,147,20.4544081632653,6804.672,19415.999,0,0,0,0,0,0,0,0
d15818,M,3.8,Dedicated,REG,41,451,31.3554323725055,34355.762,48925.2900000001,0,0,0,0,1,26,0,27
d04282,M,6.5,Final-mile,REG,46,1601,40.5683660212367,146398.016,213986.381,3,0,0,3,11,9,0,23
d01629,M,0.7,Dedicated,REG,55,190,18.8226315789474,9316.113,30268.033,0,0,0,0,0,0,0,0
d24405,M,4.4,Dedicated,OTR,41,308,26.7141331168831,24374.39,45995.638,0,0,0,0,2,0,0,2
d06073,M,4.2,Dedicated,REG,48,939,33.7102364217252,90350.77,134493.58,0,0,0,0,5,1,0,6
